                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4131,                  4.859,                 1.9103,                  2e-05,                0.00222,                  1e-05,                      0,                 2.5308,                 5.1005,                  2.085,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.9761,                 4.5232,                 1.5931,                0.00056,                0.06858,                 0.0065,                0.00495,                 1.8067,                 4.5705,                 1.4272,             0.00010782,             0.00010782,             0.00010782
                      3,                 1.7835,                  4.026,                 1.3739,                0.00338,                0.32699,                0.09543,                0.04719,                 1.4813,                 4.2356,                 1.1373,             0.00016327,             0.00016327,             0.00016327
                      4,                 1.7055,                  3.349,                 1.2955,                0.00457,                0.39751,                 0.1392,                0.06649,                 1.4482,                 4.0908,                 1.1253,             0.00021634,             0.00021634,             0.00021634
                      5,                 1.6035,                 2.9348,                 1.3014,                0.00836,                0.56606,                 0.2175,                0.11343,                 1.3736,                 3.8772,                  1.117,             0.00026703,             0.00026703,             0.00026703
                      6,                 1.6632,                   2.55,                 1.2781,                0.00942,                0.66376,                0.28122,                0.14809,                 1.2784,                 3.7792,                 1.0761,             0.00031535,             0.00031535,             0.00031535
                      7,                 1.5162,                  2.347,                  1.165,                0.83472,                0.09153,                0.35366,                0.19853,                 1.2919,                 3.6277,                  1.074,             0.00036129,             0.00036129,             0.00036129
                      8,                 1.4972,                 2.1309,                 1.1983,                0.00913,                0.88602,                0.38906,                0.21725,                 1.3047,                 3.4931,                 1.0834,             0.00040486,             0.00040486,             0.00040486
                      9,                 1.5155,                 2.1863,                 1.2347,                0.01067,                0.88219,                0.49279,                0.26817,                 1.3182,                 3.5766,                 1.1216,             0.00044605,             0.00044605,             0.00044605
                     10,                 1.4807,                 2.0391,                 1.1717,                0.34005,                0.71443,                0.51263,                0.29443,                 1.3273,                  3.401,                 1.1272,             0.00048486,             0.00048486,             0.00048486
                     11,                 1.5347,                 1.9109,                 1.1923,                0.99424,                0.09606,                 0.5718,                0.34721,                 1.3519,                 3.1644,                 1.1336,              0.0005213,              0.0005213,              0.0005213
                     12,                 1.4297,                 1.8043,                 1.2308,                      1,                0.10207,                0.65311,                0.39264,                 1.3853,                  3.091,                 1.1377,             0.00055536,             0.00055536,             0.00055536
